id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,reject_reason
7064,"Amazing location! Wburg. Large, bright & tranquil",17297,Joelle,Brooklyn,Williamsburg,40.71248,-73.95881,Private room,,30,13,2022-09-12,0.07,2,0,0,Not available,Invalid price
7801,Sunny Prime Williamsburg Loft with Sauna,21207,Chaya,Brooklyn,Williamsburg,40.718807220458984,-73.9561767578125,Entire home/apt,,30,12,2024-07-31,0.06,1,91,0,Not available,Invalid price
11943,Country space in the city,45445,Harriet,Brooklyn,Flatbush,40.63702,-73.96327,Private room,,30,0,,,1,0,0,Not available,Invalid price
12192,ENJOY Downtown NYC!,46978,Edward,Manhattan,East Village,40.72296,-73.98383,Private room,,30,315,2025-07-31,1.62,2,0,2,Not available,Invalid price
15341,"* Lovely Nolita 1Bdrm w AC, Doorman & Elevator *",60049,Ted,Manhattan,Lower East Side,40.721359,-73.993668,Entire home/apt,,30,43,2025-08-31,0.29,1,211,5,Not available,Invalid price
15396,Sunny & Spacious Chelsea Apartment,60278,Petra,Manhattan,Chelsea,40.74493,-73.99521,Entire home/apt,,180,5,2018-11-03,0.04,1,93,0,Not available,Invalid price
16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,40.8019,-73.93762,Entire home/apt,,30,291,2023-09-05,1.52,1,210,0,Not available,Invalid price
17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,40.72289,-73.98028,Entire home/apt,,30,53,2024-06-06,0.28,1,110,0,Not available,Invalid price
18961,Cozy Studio in Great Location!,70857,Fabian,Manhattan,Kips Bay,40.73808,-73.98001,Private room,,30,1,2016-03-22,0.01,1,0,0,Not available,Invalid price
20913,Charming 1 bed GR8 WBurg LOCATION!,79402,Christiana,Brooklyn,Williamsburg,40.70967,-73.95922,Entire home/apt,,30,165,2018-07-22,0.9,1,0,0,Not available,Invalid price
21644,"Upper Manhattan, New York",82685,Elliott,Manhattan,Harlem,40.82782,-73.9473,Private room,,30,3,2019-10-21,0.04,1,0,0,Not available,Invalid price
23135,@HouseOnHenrySt Private 1 bedroom with shared use,11481,Annette,Brooklyn,Carroll Gardens,40.67747,-74.00146,Private room,,30,317,2024-07-25,1.69,4,365,0,Not available,Invalid price
25406,"Modern Brooklyn Apt., August sublet",105538,Erik,Brooklyn,Williamsburg,40.71649,-73.94865,Entire home/apt,,30,29,2018-05-26,0.19,1,0,0,Not available,Invalid price
27883,East Village Sanctuary,120223,Jen,Manhattan,East Village,40.72421,-73.98509,Entire home/apt,,30,25,2011-12-10,0.14,1,27,0,Not available,Invalid price
28907,Garden studio in the Upper East Sid,124352,Lisa,Manhattan,Upper East Side,40.77827,-73.94669,Entire home/apt,,30,19,2017-05-31,0.1,1,0,0,Not available,Invalid price
31555,Luminous Beautiful West Village Studio,135619,Tom,Manhattan,West Village,40.73405,-74.00281,Entire home/apt,,30,30,2021-03-27,0.17,1,0,0,Not available,Invalid price
31902,Sanctuary in East Flatbush,137292,Sunder,Brooklyn,East Flatbush,40.6327,-73.93184,Private room,,30,4,2019-10-14,0.02,1,0,0,Not available,Invalid price
32037,Huge Private  Floor at The Waverly,116599,Sahr,Brooklyn,Clinton Hill,40.68513,-73.96648,Private room,,30,92,2022-11-02,0.5,3,364,0,Not available,Invalid price
33009,Retreat in Williamsburg,143027,Ming,Brooklyn,Williamsburg,40.71512,-73.95899,Entire home/apt,,30,299,2025-03-31,1.61,1,217,2,Not available,Invalid price
36647,"1 Bedroom & your own Bathroom, Elevator Apartment",157798,Irene,Manhattan,East Harlem,40.79245376586914,-73.94074249267578,Private room,,30,102,2023-12-09,0.56,1,0,0,Not available,Invalid price
38833,Spectacular West Harlem Garden Apt,166532,Matthew,Manhattan,Harlem,40.8180576,-73.9466707,Private room,,2,268,2025-09-28,1.46,1,200,43,OSE-STRREG-0000476,Invalid price
39593,A lovely room w/ a Manhattan view,110506,Myung,Queens,Sunnyside,40.74523,-73.92318,Private room,,180,36,2025-05-15,0.2,1,274,2,Not available,Invalid price
39704,"Private, Large & Sunny 1BR w/W&D",170510,Renée,Brooklyn,Bedford-Stuyvesant,40.68216,-73.94594,Entire home/apt,,30,336,2019-12-12,1.83,2,0,0,Not available,Invalid price
